SERVICE_RTE_NUM,INBD_OUTBD_CD,DAY_PART_CD,STOP_ID,STOP_NAME,DAY_TYPE,STOP_SEQUENCE_NUM,AVG_TRIP_BOARDINGS,AVG_TOTAL_BOARDINGS,AVG_TRIP_ALIGHTINGS,AVG_TOTAL_ALIGHTINGS,AVG_TRIP_DEPARTING_LOAD
701,O,MID,3267,Shoreline North/185th Station Bay 2,Saturday,17,0.000,0.000,4.650,111.600,-0.108
701,O,MID,2770,International SB Station at 174th Pl SW,Saturday,11,2.048,51.200,2.312,57.800,14.592
701,O,MID,2764,Crossroads SB Station at 196th St SW,Saturday,12,2.032,50.800,5.032,125.800,11.352
701,O,MID,2760,College SB Station at 204th St SW,Saturday,13,0.608,14.600,0.708,17.000,11.692
701,O,MID,2754,216th St SW SB Station,Saturday,14,1.492,35.800,1.625,39.000,11.558
701,O,MID,2748,238th St SW SB Station,Saturday,15,1.200,28.800,1.417,34.000,11.342
701,O,MID,2742,Aurora Village Transit Center Bay 9,Saturday,16,1.136,28.400,7.520,188.000,4.280
701,O,MID,2784,112th St SW SB Station,Saturday,7,2.400,57.600,1.467,35.200,17.050
701,O,MID,2782,Airport Road SB Station,Saturday,8,3.467,83.200,4.725,113.400,15.892
701,O,MID,2780,Lincoln Way SB Station,Saturday,9,1.392,33.400,1.617,38.800,15.667
701,O,MID,2778,148th St SW SB Station,Saturday,10,2.000,48.000,2.433,58.400,15.233
701,O,MID,2836,Wetmore Ave SB Station,Saturday,1,4.136,103.400,0.496,12.400,9.904
701,O,MID,2820,41st St SB Station,Saturday,2,2.064,51.600,1.056,26.400,10.816
701,O,MID,2816,50th St SB Station,Saturday,3,1.475,35.400,1.200,28.800,11.208
701,O,MID,2810,Pecks Dr SB Station,Saturday,4,1.917,46.000,0.892,21.400,12.233
701,O,MID,2796,Casino Rd SB Station,Saturday,5,5.725,137.400,2.642,63.400,15.317
701,O,MID,2788,4th Ave W SB Station,Saturday,6,4.072,101.800,2.968,74.200,15.888
701,O,MID,2838,Everett Station Bay G1,Saturday,0,6.184,154.600,0.000,0.000,6.184
701,O,PM,3267,Shoreline North/185th Station Bay 2,Saturday,17,0.000,0.000,5.162,82.600,0.000
701,O,PM,2764,Crossroads SB Station at 196th St SW,Saturday,12,2.953,50.200,5.412,92.000,11.459
701,O,PM,2760,College SB Station at 204th St SW,Saturday,13,0.541,9.200,0.718,12.200,11.129
701,O,PM,2754,216th St SW SB Station,Saturday,14,1.613,25.800,1.887,30.200,11.425
701,O,PM,2748,238th St SW SB Station,Saturday,15,1.113,17.800,2.075,33.200,10.137
701,O,PM,2742,Aurora Village Transit Center Bay 9,Saturday,16,1.529,26.000,6.706,114.000,4.953
701,O,PM,2784,112th St SW SB Station,Saturday,7,1.500,24.000,1.900,30.400,17.225
701,O,PM,2782,Airport Road SB Station,Saturday,8,4.388,70.200,5.037,80.600,16.462
701,O,PM,2780,Lincoln Way SB Station,Saturday,9,1.188,19.000,2.200,35.200,15.562
701,O,PM,2778,148th St SW SB Station,Saturday,10,1.863,29.800,3.325,53.200,14.100
701,O,PM,2770,International SB Station at 174th Pl SW,Saturday,11,2.500,40.000,2.350,37.600,14.250
701,O,PM,2816,50th St SB Station,Saturday,3,2.062,33.000,1.387,22.200,13.450
701,O,PM,2810,Pecks Dr SB Station,Saturday,4,1.925,30.800,1.512,24.200,13.863
701,O,PM,2796,Casino Rd SB Station,Saturday,5,5.575,89.200,3.587,57.400,14.838
701,O,PM,2788,4th Ave W SB Station,Saturday,6,3.325,53.200,1.425,22.800,16.575
701,O,PM,2838,Everett Station Bay G1,Saturday,0,8.293,124.400,0.000,0.000,8.293
701,O,PM,2836,Wetmore Ave SB Station,Saturday,1,3.547,53.200,0.373,5.600,11.467
701,O,PM,2820,41st St SB Station,Saturday,2,2.075,33.200,0.738,11.800,12.275
701,O,XEV,2748,238th St SW SB Station,Saturday,15,1.000,10.000,1.580,15.800,9.880
701,O,XEV,2742,Aurora Village Transit Center Bay 9,Saturday,16,1.020,10.200,5.860,58.600,5.100
701,O,XEV,3267,Shoreline North/185th Station Bay 2,Saturday,17,0.000,0.000,5.300,53.000,0.000
701,O,XEV,2764,Crossroads SB Station at 196th St SW,Saturday,12,2.489,22.400,3.644,32.800,10.156
701,O,XEV,2760,College SB Station at 204th St SW,Saturday,13,0.400,3.600,0.422,3.800,10.733
701,O,XEV,2754,216th St SW SB Station,Saturday,14,1.244,11.200,1.156,10.400,11.044
701,O,XEV,2796,Casino Rd SB Station,Saturday,5,4.740,47.400,2.760,27.600,13.520
701,O,XEV,2788,4th Ave W SB Station,Saturday,6,3.044,27.400,1.733,15.600,16.889
701,O,XEV,2784,112th St SW SB Station,Saturday,7,1.267,11.400,1.489,13.400,16.667
701,O,XEV,2782,Airport Road SB Station,Saturday,8,3.956,35.600,6.267,56.400,14.356
701,O,XEV,2780,Lincoln Way SB Station,Saturday,9,1.156,10.400,1.689,15.200,13.822
701,O,XEV,2778,148th St SW SB Station,Saturday,10,1.422,12.800,2.933,26.400,12.311
701,O,XEV,2770,International SB Station at 174th Pl SW,Saturday,11,1.956,17.600,1.778,16.000,12.133
701,O,XEV,2838,Everett Station Bay G1,Saturday,0,6.533,58.800,0.000,0.000,6.533
701,O,XEV,2836,Wetmore Ave SB Station,Saturday,1,3.800,34.200,0.267,2.400,10.067
701,O,XEV,2820,41st St SB Station,Saturday,2,1.533,13.800,0.600,5.400,11.000
701,O,XEV,2816,50th St SB Station,Saturday,3,2.244,20.200,1.067,9.600,12.178
701,O,XEV,2810,Pecks Dr SB Station,Saturday,4,1.511,13.600,1.156,10.400,12.311
701,O,XNT,2764,Crossroads SB Station at 196th St SW,Saturday,12,2.360,11.800,2.880,14.400,8.360
701,O,XNT,2760,College SB Station at 204th St SW,Saturday,13,0.440,2.200,0.400,2.000,8.400
701,O,XNT,2754,216th St SW SB Station,Saturday,14,0.800,4.000,1.560,7.800,7.640
701,O,XNT,2748,238th St SW SB Station,Saturday,15,0.480,2.400,1.760,8.800,6.360
701,O,XNT,2742,Aurora Village Transit Center Bay 9,Saturday,16,0.720,3.600,4.280,21.400,2.800
701,O,XNT,3267,Shoreline North/185th Station Bay 2,Saturday,17,0.033,0.200,2.567,15.400,0.000
701,O,XNT,2796,Casino Rd SB Station,Saturday,5,3.850,15.400,1.700,6.800,9.950
701,O,XNT,2788,4th Ave W SB Station,Saturday,6,2.050,8.200,0.850,3.400,11.450
701,O,XNT,2784,112th St SW SB Station,Saturday,7,0.500,2.000,1.300,5.200,10.650
701,O,XNT,2782,Airport Road SB Station,Saturday,8,3.100,12.400,3.850,15.400,9.900
701,O,XNT,2780,Lincoln Way SB Station,Saturday,9,0.550,2.200,1.000,4.000,9.450
701,O,XNT,2778,148th St SW SB Station,Saturday,10,1.150,4.600,2.900,11.600,7.700
701,O,XNT,2770,International SB Station at 174th Pl SW,Saturday,11,1.280,6.400,1.080,5.400,7.000
701,O,XNT,2838,Everett Station Bay G1,Saturday,0,4.800,14.400,0.000,0.000,4.800
701,O,XNT,2836,Wetmore Ave SB Station,Saturday,1,2.067,6.200,0.600,1.800,6.267
701,O,XNT,2820,41st St SB Station,Saturday,2,1.067,3.200,0.267,0.800,7.067
701,O,XNT,2816,50th St SB Station,Saturday,3,1.200,3.600,1.000,3.000,8.000
701,O,XNT,2810,Pecks Dr SB Station,Saturday,4,0.950,3.800,0.600,2.400,6.300
