block_identifier,service_id,trip_id,trip_sequence
5906543,117816,49192821,11
5906543,117816,49192872,12
5906543,117816,49192937,13
5906543,117816,49192881,14
5906543,117816,49192793,15
5906543,117816,49192981,16
5906543,117816,49192830,17
5906543,117816,49192891,18
5906543,117816,49192800,19
5906543,117816,49192991,20
5906543,117816,49192836,21
5906543,117816,49192904,22
5906543,117816,49192806,23
5906543,117816,49192998,24
5906543,117816,49192840,25
5906543,117816,49192912,26
5906543,117816,49192809,27
5906543,117816,49193002,28
5906544,117816,49192844,1
5906544,117816,49192849,2
5906544,117816,49192779,3
5906544,117816,49192963,4
5906544,117816,49192815,5
5906544,117816,49192858,6
5906544,117816,49193012,7
5906544,117816,49192970,8
5906544,117816,49192819,9
5906544,117816,49192868,10
5906544,117816,49192935,11
5906544,117816,49192877,12
5906544,117816,49192791,13
5906544,117816,49192979,14
5906544,117816,49192828,15
5906544,117816,49192887,16
5906544,117816,49192797,17
5906544,117816,49192987,18
5906545,117816,49193007,1
5906545,117816,49192961,2
5906545,117816,49192813,3
5906545,117816,49192856,4
5906545,117816,49192782,5
5906545,117816,49192969,6
5906545,117816,49192818,7
5906545,117816,49192866,8
5906545,117816,49192934,9
5906545,117816,49192875,10
5906545,117816,49192790,11
5906545,117816,49192978,12
5906545,117816,49192827,13
